INDEX:1000:<ulong>,origin_z:1000:<float>,intersect_x:1000:<float>,intersect_y:1000:<float>,idx_x:1000:<float>,idx_y:1000:<float>,value:1000:<float>,time:1000:<float>,gt_intersect_x:1000:<float>,gt_intersect_y:1000:<float>
139,-36.0999984741,75,-40,15,0,-2.83009529114,15,78.8532714844,-45.3080101013
140,-36,75,-40,15,0,-2.83009529114,15,78.7110290527,-45.2413482666
141,-35.9000015259,75,-40,15,0,-2.83009529114,15,78.5690078735,-45.1742515564
142,-35.7999992371,75,-40,15,0,-2.83009529114,15,78.4272079468,-45.1067047119
143,-35.7000007629,75,-40,15,0,-2.83009529114,15,78.2855911255,-45.0387001038
144,-35.5999984741,75,-40,15,0,-2.83009529114,15,78.1442184448,-44.9702644348
145,-35.5,75,-40,15,0,-2.83009529114,15,78.003036499,-44.9013748169
146,-35.4000015259,75,-40,15,0,-2.83009529114,15,77.8620910645,-44.8320503235
147,-35.2999992371,75,-40,15,0,-2.83009529114,15,77.7213668823,-44.7622871399
148,-35.2000007629,75,-40,15,0,-2.83009529114,15,77.5808334351,-44.6920700073
149,-35.0999984741,75,-40,15,0,-2.83009529114,15,77.4405517578,-44.621421814
150,-35,65,-35,13,0,-0.502524375916,13,77.3004684448,-44.5503234863
151,-34.9000015259,65,-35,13,0,-0.502524375916,13,77.1606292725,-44.4787940979
152,-34.7999992371,65,-35,13,0,-0.502524375916,13,77.0210189819,-44.406829834
153,-34.7000007629,65,-35,13,0,-0.502524375916,13,76.8816070557,-44.3344116211
154,-34.5999984741,65,-35,13,0,-0.502524375916,13,76.7424545288,-44.2615699768
155,-34.5,65,-35,13,0,-0.502524375916,13,76.6035003662,-44.1882743835
156,-34.4000015259,65,-35,13,0,-0.502524375916,13,76.464805603,-44.1145629883
157,-34.2999992371,65,-35,13,0,-0.502524375916,13,76.3263397217,-44.0404129028
158,-34.2000007629,65,-35,13,0,-0.502524375916,13,76.1880874634,-43.9658126831
159,-34.0999984741,65,-35,13,0,-0.502524375916,13,76.0500869751,-43.8907928467
160,-34,65,-35,13,0,-0.502524375916,13,75.9123077393,-43.8153305054
161,-33.9000015259,65,-35,13,0,-0.502524375916,13,75.7747879028,-43.7394447327
162,-33.7999992371,65,-35,13,0,-0.502524375916,13,75.6375045776,-43.6631278992
163,-33.6999969482,65,-35,13,0,-0.502524375916,13,75.5004348755,-43.5863685608
164,-33.5999984741,65,-35,13,0,-0.502524375916,13,75.3636398315,-43.5091896057
165,-33.5,65,-35,13,0,-0.502524375916,13,75.2270584106,-43.4315719604
166,-33.4000015259,65,-35,13,0,-0.502524375916,13,75.0907440186,-43.3535346985
167,-33.2999992371,65,-35,13,0,-0.502524375916,13,74.9546737671,-43.2750701904
168,-33.1999969482,65,-35,13,0,-0.502524375916,13,74.8188323975,-43.1961669922
169,-33.0999984741,65,-35,13,0,-0.502524375916,13,74.683265686,-43.1168479919
170,-33,65,-35,13,0,-0.502524375916,13,74.5479202271,-43.0370941162
171,-32.9000015259,65,-35,13,0,-0.502524375916,13,74.4128494263,-42.9569282532
172,-32.7999992371,65,-35,13,0,-0.502524375916,13,74.2780303955,-42.876335144
173,-32.6999969482,65,-35,13,0,-0.502524375916,13,74.143447876,-42.7953109741
174,-32.5999984741,65,-35,13,0,-0.502524375916,13,74.0091323853,-42.7138748169
175,-32.5,65,-35,13,0,-0.502524375916,13,73.8750610352,-42.6319999695
176,-32.4000015259,65,-35,13,0,-0.502524375916,13,73.7412719727,-42.5497245789
177,-32.2999992371,65,-35,13,0,-0.502524375916,13,73.6077270508,-42.4670257568
178,-32.1999969482,65,-35,13,0,-0.502524375916,13,73.4744338989,-42.383895874
179,-32.0999984741,65,-35,13,0,-0.502524375916,13,73.3414230347,-42.3003578186
