kernel;n_rays;time;Rps;Rps/Eur;Rps/W;n_blocks;n_threads
OpenVDB;2808976;0.125169;2.24415e+07;6821.13;149610;1;1
NanoVDB_CPU;2808976;0.110624;2.53922e+07;7717.98;169281;1;1
NanoVDB_GPU;2808976;0.0323264;8.68941e+07;34757.6;1.24134e+06;256;256
OpenVDB;3147076;0.140164;2.24529e+07;6824.58;149686;1;1
NanoVDB_CPU;3147076;0.093774;3.35602e+07;10200.7;223735;1;1
NanoVDB_GPU;3147076;0.0361675;8.70139e+07;34805.6;1.24306e+06;256;256
OpenVDB;3526884;0.160897;2.19202e+07;6662.67;146135;1;1
NanoVDB_CPU;3526884;0.106155;3.32238e+07;10098.4;221492;1;1
NanoVDB_GPU;3526884;0.0404471;8.71975e+07;34879;1.24568e+06;256;256
OpenVDB;3948169;0.176276;2.23977e+07;6807.8;149318;1;1
NanoVDB_CPU;3948169;0.175744;2.24654e+07;6828.4;149770;1;1
NanoVDB_GPU;3948169;0.0452927;8.717e+07;34868;1.24529e+06;256;256
OpenVDB;4426816;0.286509;1.54509e+07;4696.31;103006;1;1
NanoVDB_CPU;4426816;0.189265;2.33895e+07;7109.26;155930;1;1
NanoVDB_GPU;4426816;0.0508097;8.71254e+07;34850.2;1.24465e+06;256;256
OpenVDB;4959529;0.302487;1.63958e+07;4983.54;109306;1;1
NanoVDB_CPU;4959529;0.147641;3.35918e+07;10210.3;223945;1;1
NanoVDB_GPU;4959529;0.0570147;8.69869e+07;34794.8;1.24267e+06;256;256
OpenVDB;5555449;0.294632;1.88556e+07;5731.18;125704;1;1
NanoVDB_CPU;5555449;0.208302;2.66701e+07;8106.42;177801;1;1
NanoVDB_GPU;5555449;0.0635329;8.7442e+07;34976.8;1.24917e+06;256;256
OpenVDB;6225025;0.284763;2.18604e+07;6644.5;145736;1;1
NanoVDB_CPU;6225025;0.277187;2.24579e+07;6826.1;149719;1;1
NanoVDB_GPU;6225025;0.0714629;8.71085e+07;34843.4;1.24441e+06;256;256
OpenVDB;6974881;0.368848;1.89099e+07;5747.69;126066;1;1
NanoVDB_CPU;6974881;0.21792;3.20066e+07;9728.44;213377;1;1
NanoVDB_GPU;6974881;0.0796228;8.75991e+07;35039.6;1.25142e+06;256;256
OpenVDB;7817616;0.472846;1.65331e+07;5025.27;110221;1;1
NanoVDB_CPU;7817616;0.342061;2.28544e+07;6946.64;152363;1;1
NanoVDB_GPU;7817616;0.0894161;8.74297e+07;34971.9;1.249e+06;256;256
OpenVDB;8755681;0.436805;2.00448e+07;6092.65;133632;1;1
NanoVDB_CPU;8755681;0.265765;3.29452e+07;10013.7;219635;1;1
NanoVDB_GPU;8755681;0.100376;8.72287e+07;34891.5;1.24612e+06;256;256
OpenVDB;9809424;0.44419;2.20838e+07;6712.41;147226;1;1
NanoVDB_CPU;9809424;0.363058;2.70189e+07;8212.42;180126;1;1
NanoVDB_GPU;9809424;0.112663;8.70689e+07;34827.6;1.24384e+06;256;256
OpenVDB;10995856;0.496706;2.21376e+07;6728.74;147584;1;1
NanoVDB_CPU;10995856;0.430263;2.55561e+07;7767.81;170374;1;1
NanoVDB_GPU;10995856;0.112189;9.80115e+07;39204.6;1.40016e+06;256;256
OpenVDB;12320100;0.758499;1.62427e+07;4937;108285;1;1
NanoVDB_CPU;12320100;0.375634;3.27982e+07;9969.05;218654;1;1
NanoVDB_GPU;12320100;0.135255;9.10876e+07;36435;1.30125e+06;256;256
OpenVDB;13801225;0.620607;2.22383e+07;6759.36;148255;1;1
NanoVDB_CPU;13801225;0.471297;2.92835e+07;8900.76;195223;1;1
NanoVDB_GPU;13801225;0.157897;8.74064e+07;34962.6;1.24866e+06;256;256
OpenVDB;15460624;0.706425;2.18857e+07;6652.2;145905;1;1
NanoVDB_CPU;15460624;0.482015;3.2075e+07;9749.24;213833;1;1
NanoVDB_GPU;15460624;0.176617;8.75376e+07;35015.1;1.25054e+06;256;256
OpenVDB;17330569;0.95006;1.82416e+07;5544.55;121610;1;1
NanoVDB_CPU;17330569;0.755759;2.29313e+07;6970.01;152876;1;1
NanoVDB_GPU;17330569;0.197732;8.7647e+07;35058.8;1.2521e+06;256;256
OpenVDB;19412836;1.0649;1.82298e+07;5540.97;121532;1;1
NanoVDB_CPU;19412836;0.780915;2.48591e+07;7555.95;165727;1;1
NanoVDB_GPU;19412836;0.221523;8.76334e+07;35053.4;1.25191e+06;256;256
OpenVDB;21752896;1.08529;2.00433e+07;6092.2;133622;1;1
NanoVDB_CPU;21752896;0.810394;2.68424e+07;8158.78;178949;1;1
NanoVDB_GPU;21752896;0.206625;1.05277e+08;42110.8;1.50396e+06;256;256
OpenVDB;24373969;1.11418;2.18762e+07;6649.29;145841;1;1
NanoVDB_CPU;24373969;0.723959;3.36676e+07;10233.3;224451;1;1
NanoVDB_GPU;24373969;0.223178;1.09213e+08;43685.2;1.56019e+06;256;256
OpenVDB;27311076;1.40073;1.94977e+07;5926.36;129985;1;1
NanoVDB_CPU;27311076;0.927204;2.94553e+07;8952.98;196369;1;1
NanoVDB_GPU;27311076;0.293525;9.30451e+07;37218.1;1.32922e+06;256;256
OpenVDB;30603024;1.76842;1.73053e+07;5259.98;115369;1;1
NanoVDB_CPU;30603024;1.15468;2.65034e+07;8055.74;176689;1;1
NanoVDB_GPU;30603024;0.279656;1.09431e+08;43772.3;1.5633e+06;256;256
OpenVDB;34281025;1.87646;1.8269e+07;5552.87;121793;1;1
NanoVDB_CPU;34281025;1.04717;3.27369e+07;9950.43;218246;1;1
NanoVDB_GPU;34281025;0.287708;1.19152e+08;47660.8;1.70217e+06;256;256
OpenVDB;38415204;2.01985;1.90188e+07;5780.8;126792;1;1
NanoVDB_CPU;38415204;1.33783;2.87146e+07;8727.85;191431;1;1
NanoVDB_GPU;38415204;0.308812;1.24397e+08;49758.7;1.7771e+06;256;256
OpenVDB;43033600;2.27525;1.89138e+07;5748.87;126092;1;1
NanoVDB_CPU;43033600;1.52994;2.81276e+07;8549.41;187517;1;1
NanoVDB_GPU;43033600;0.311737;1.38045e+08;55217.9;1.97207e+06;256;256
OpenVDB;48219136;2.5473;1.89295e+07;5753.65;126197;1;1
NanoVDB_CPU;48219136;1.43264;3.36575e+07;10230.2;224383;1;1
NanoVDB_GPU;48219136;0.372048;1.29605e+08;51841.9;1.8515e+06;256;256
OpenVDB;54037201;2.97305;1.81757e+07;5524.52;121171;1;1
NanoVDB_CPU;54037201;1.61476;3.34645e+07;10171.6;223097;1;1
NanoVDB_GPU;54037201;0.410116;1.31761e+08;52704.3;1.8823e+06;256;256
OpenVDB;60543961;2.71647;2.22877e+07;6774.39;148585;1;1
NanoVDB_CPU;60543961;1.88239;3.21634e+07;9776.12;214423;1;1
NanoVDB_GPU;60543961;0.460009;1.31615e+08;52645.9;1.88021e+06;256;256
OpenVDB;67831696;3.1144;2.178e+07;6620.06;145200;1;1
NanoVDB_CPU;67831696;2.01303;3.36964e+07;10242.1;224643;1;1
NanoVDB_GPU;67831696;0.379034;1.78959e+08;71583.8;2.55656e+06;256;256
OpenVDB;76003524;3.8646;1.96666e+07;5977.69;131111;1;1
NanoVDB_CPU;76003524;2.73259;2.78137e+07;8454.03;185425;1;1
NanoVDB_GPU;76003524;0.424901;1.78873e+08;71549.4;2.55534e+06;256;256
OpenVDB;85155984;4.08609;2.08404e+07;6334.48;138936;1;1
NanoVDB_CPU;85155984;2.60309;3.27134e+07;9943.3;218090;1;1
NanoVDB_GPU;85155984;0.475678;1.7902e+08;71608.1;2.55743e+06;256;256
OpenVDB;95413824;4.38986;2.1735e+07;6606.4;144900;1;1
NanoVDB_CPU;95413824;3.41109;2.79717e+07;8502.03;186478;1;1
NanoVDB_GPU;95413824;0.533469;1.78855e+08;71542.1;2.55508e+06;256;256
OpenVDB;106894921;4.75666;2.24727e+07;6830.6;149818;1;1
NanoVDB_CPU;106894921;3.1561;3.38693e+07;10294.6;225795;1;1
NanoVDB_GPU;106894921;0.598419;1.78629e+08;71451.5;2.55184e+06;256;256
OpenVDB;119771136;5.46263;2.19256e+07;6664.3;146170;1;1
