x;y;z
0.1;-0.2;7;38.0422
0.2;-0.2;7;38.0422
0.2;-0.2;7;38.0422
0.2;-0.2;7;38.0422
0.2;-0.2;7;38.0422
0.2;-0.2;7;38.0422
0.2;-0.1;7;38.0422
0.2;-0.1;7;38.0422
0.2;-0.1;7;38.0422
0.2;-0.1;7;38.0422
0.2;-0.1;7;38.0422
0.2;-0.1;7;38.0422
0.2;-0.1;7;38.0422
0.2;-0.1;7;38.0422
0.2;-0.1;7;38.0422
0.2;-0.1;7;38.0422
0.2;-0.1;7;38.0422
0.2;-0.1;7;38.0422
0.4;0;7;38.169
0.4;0;7;38.169
0.4;0;7;38.169
0.4;0;7;38.169
0.4;0;7;38.169
0.4;0;7;38.169
0.4;0.1;7;38.169
0.4;0.1;7;38.169
0.4;0.1;7;38.169
0.4;0.1;7;38.169
0.4;0.1;7;38.169
0.4;0.1;7;38.169
0.4;0.1;7;38.169
0.4;0.2;7;38.169
0.4;0.2;7;38.169
0.4;0.2;7;38.169
0.4;0.2;7;38.169
0.4;0.2;7;38.169
0.3;0.2;7;38.169
0.3;0.2;7;38.169
0.3;0.3;7;38.169
0.3;0.3;7;38.169
0.3;0.3;7;38.169
0.3;0.3;7;38.169
0.3;0.3;7;38.169
0.3;0.3;7;38.169
0.3;0.3;7;38.169
0.2;0.3;7;38.169
0.2;0.4;7;38.169
0.2;0.4;7;38.169
0.2;0.4;7;38.169
0.2;0.4;7;38.169
0.2;0.4;7;38.169
0.2;0.4;7;38.169
0.1;0.4;7;38.169
0.1;0.4;7;38.169
0.1;0.4;7;38.169
0.1;0.4;7;38.169
0.1;0.4;7;38.169
0.1;0.4;7;38.169
0;0.4;7;38.169
0;0.4;7;38.169
0;0.4;7;38.169
0;0.4;7;38.169
0;0.4;7;38.169
0;0.4;7;38.169
-0.1;0.4;7;38.169
-0.1;0.4;7;38.169
-0.1;0.4;7;38.169
-0.1;0.4;7;38.169
-0.1;0.4;7;38.169
-0.1;0.4;7;38.169
-0.2;0.4;7;38.169
-0.2;0.4;7;38.169
-0.2;0.4;7;38.169
-0.2;0.4;7;38.169
-0.2;0.4;7;38.169
-0.2;0.4;7;38.169
-0.3;0.4;7;38.169
-0.3;0.4;7;38.169
-0.3;0.4;7;38.169
-0.3;0.4;7;38.169
-0.3;0.4;7;38.169
-0.3;0.3;7;38.169
-0.3;0.3;7;38.169
-0.4;0.3;7;38.169
-0.4;0.3;7;38.169
-0.4;0.3;7;38.169
-0.4;0.3;7;38.169
-0.4;0.3;7;38.169
-0.4;0.3;7;38.169
-0.4;0.3;7;38.169
-0.4;0.2;7;38.169
-0.4;0.2;7;38.169
-0.5;0.2;7;38.169
-0.5;0.2;7;38.169
-0.5;0.2;7;38.169
-0.5;0.2;7;38.169
-0.5;0.2;7;38.169
-0.5;0.1;7;38.169
-0.5;0.1;7;38.169
-0.5;0.1;7;38.169
-0.5;0.1;7;38.169
-0.5;0.1;7;38.169
-0.5;0.1;7;38.169
-0.5;0;7;38.169
-0.5;0;7;38.169
-0.5;0;7;38.169
-0.5;0;7;38.169
-0.5;0;7;38.169
-0.5;0;7;38.169
-0.5;-0.1;7;38.169
-0.5;-0.1;7;38.169
-0.5;-0.1;7;38.169
-0.5;-0.1;7;38.169
-0.5;-0.1;7;38.169
-0.5;-0.1;7;38.169
-0.5;-0.2;7;38.169
-0.5;-0.2;7;38.169
-0.5;-0.2;7;38.169
-0.5;-0.2;7;38.169
-0.5;-0.2;7;38.169
-0.5;-0.2;7;38.169
