kernel;n_rays;time;Rps;Rps/Eur;Rps/W;n_blocks;n_threads
OpenVDB;5555449;0.374086;1.48507e+07;4513.9;99004.9;1;1
NanoVDB_CPU;5555449;0.228203;2.43444e+07;7399.5;162296;1;1
NanoVDB_GPU;5555449;0.107361;5.17455e+07;20698.2;739221;256;256
OpenVDB;6225025;0.571503;1.08924e+07;3310.75;72615.8;1;1
NanoVDB_CPU;6225025;0.365001;1.70548e+07;5183.84;113699;1;1
NanoVDB_GPU;6225025;0.118376;5.25867e+07;21034.7;751238;256;256
OpenVDB;6974881;0.417884;1.6691e+07;5073.24;111273;1;1
NanoVDB_CPU;6974881;0.395271;1.76458e+07;5363.47;117639;1;1
NanoVDB_GPU;6974881;0.134709;5.17775e+07;20711;739678;256;256
OpenVDB;7817616;0.665002;1.17558e+07;3573.19;78371.9;1;1
NanoVDB_CPU;7817616;0.408072;1.91574e+07;5822.93;127716;1;1
NanoVDB_GPU;7817616;0.151015;5.1767e+07;20706.8;739529;256;256
OpenVDB;8755681;0.632809;1.38362e+07;4205.54;92241.5;1;1
NanoVDB_CPU;8755681;0.389054;2.2505e+07;6840.43;150034;1;1
NanoVDB_GPU;8755681;0.149675;5.84978e+07;23399.1;835682;256;256
OpenVDB;9809424;0.807973;1.21408e+07;3690.21;80938.5;1;1
NanoVDB_CPU;9809424;0.438628;2.23639e+07;6797.53;149092;1;1
NanoVDB_GPU;9809424;0.18929;5.18222e+07;20728.9;740317;256;256
OpenVDB;10995856;0.662643;1.65939e+07;5043.75;110626;1;1
NanoVDB_CPU;10995856;0.488939;2.24892e+07;6835.63;149928;1;1
NanoVDB_GPU;10995856;0.202245;5.43691e+07;21747.6;776701;256;256
OpenVDB;12320100;0.925778;1.33078e+07;4044.93;88718.9;1;1
NanoVDB_CPU;12320100;0.634103;1.94292e+07;5905.53;129528;1;1
NanoVDB_GPU;12320100;0.226208;5.44637e+07;21785.5;778052;256;256
OpenVDB;13801225;0.947044;1.4573e+07;4429.47;97153;1;1
NanoVDB_CPU;13801225;0.556779;2.47876e+07;7534.23;165251;1;1
NanoVDB_GPU;13801225;0.242378;5.69409e+07;22776.4;813441;256;256
OpenVDB;15460624;0.95382;1.62092e+07;4926.8;108061;1;1
NanoVDB_CPU;15460624;0.688628;2.24514e+07;6824.12;149676;1;1
NanoVDB_GPU;15460624;0.277898;5.56341e+07;22253.6;794773;256;256
OpenVDB;17330569;1.42694;1.21453e+07;3691.58;80968.7;1;1
NanoVDB_CPU;17330569;0.921137;1.88143e+07;5718.64;125429;1;1
NanoVDB_GPU;17330569;0.253142;6.84618e+07;27384.7;978026;256;256
OpenVDB;19412836;1.55596;1.24765e+07;3792.24;83176.4;1;1
NanoVDB_CPU;19412836;1.1565;1.67859e+07;5102.09;111906;1;1
NanoVDB_GPU;19412836;0.272443;7.12547e+07;28501.9;1.01792e+06;256;256
OpenVDB;21752896;1.77739;1.22386e+07;3719.95;81591;1;1
NanoVDB_CPU;21752896;1.39779;1.55623e+07;4730.18;103749;1;1
NanoVDB_GPU;21752896;0.303652;7.16375e+07;28655;1.02339e+06;256;256
OpenVDB;24373969;1.50967;1.61452e+07;4907.36;107635;1;1
NanoVDB_CPU;24373969;0.959679;2.5398e+07;7719.77;169320;1;1
NanoVDB_GPU;24373969;0.330663;7.37125e+07;29485;1.05304e+06;256;256
OpenVDB;27311076;2.08605;1.30923e+07;3979.41;87281.8;1;1
NanoVDB_CPU;27311076;1.30287;2.09622e+07;6371.5;139748;1;1
NanoVDB_GPU;27311076;0.354605;7.70182e+07;30807.3;1.10026e+06;256;256
OpenVDB;30603024;2.17819;1.40498e+07;4270.45;93665.1;1;1
NanoVDB_CPU;30603024;1.53016;1.99999e+07;6078.98;133332;1;1
NanoVDB_GPU;30603024;0.402628;7.60081e+07;30403.3;1.08583e+06;256;256
OpenVDB;34281025;2.22992;1.53732e+07;4672.72;102488;1;1
NanoVDB_CPU;34281025;1.32892;2.57961e+07;7840.77;171974;1;1
NanoVDB_GPU;34281025;0.437421;7.83709e+07;31348.3;1.11958e+06;256;256
OpenVDB;38415204;2.72839;1.40798e+07;4279.58;93865.5;1;1
NanoVDB_CPU;38415204;1.4792;2.59703e+07;7893.71;173135;1;1
NanoVDB_GPU;38415204;0.49851;7.70601e+07;30824;1.10086e+06;256;256
OpenVDB;43033600;3.55025;1.21213e+07;3684.28;80808.5;1;1
NanoVDB_CPU;43033600;1.81048;2.37692e+07;7224.69;158462;1;1
NanoVDB_GPU;43033600;0.514696;8.36098e+07;33443.9;1.19443e+06;256;256
OpenVDB;48219136;3.38885;1.42287e+07;4324.85;94858.3;1;1
NanoVDB_CPU;48219136;1.99496;2.41704e+07;7346.64;161136;1;1
NanoVDB_GPU;48219136;0.553314;8.71461e+07;34858.5;1.24494e+06;256;256
OpenVDB;54037201;3.68277;1.4673e+07;4459.88;97820;1;1
NanoVDB_CPU;54037201;2.20337;2.45248e+07;7454.35;163499;1;1
NanoVDB_GPU;54037201;0.603781;8.94979e+07;35799.2;1.27854e+06;256;256
OpenVDB;60543961;3.76763;1.60695e+07;4884.35;107130;1;1
NanoVDB_CPU;60543961;3.53089;1.71469e+07;5211.83;114313;1;1
NanoVDB_GPU;60543961;0.646346;9.36711e+07;37468.4;1.33816e+06;256;256
OpenVDB;67831696;4.29751;1.57839e+07;4797.55;105226;1;1
NanoVDB_CPU;67831696;3.06618;2.21226e+07;6724.18;147484;1;1
NanoVDB_GPU;67831696;0.745311;9.10112e+07;36404.5;1.30016e+06;256;256
OpenVDB;76003524;5.61984;1.35241e+07;4110.68;90160.9;1;1
NanoVDB_CPU;76003524;3.70777;2.04984e+07;6230.52;136656;1;1
NanoVDB_GPU;76003524;0.790595;9.61346e+07;38453.8;1.37335e+06;256;256
OpenVDB;85155984;5.60294;1.51984e+07;4619.59;101323;1;1
NanoVDB_CPU;85155984;3.58823;2.3732e+07;7213.37;158213;1;1
NanoVDB_GPU;85155984;0.907145;9.38725e+07;37549;1.34104e+06;256;256
OpenVDB;95413824;6.08354;1.56839e+07;4767.15;104560;1;1
NanoVDB_CPU;95413824;3.7257;2.56096e+07;7784.08;170731;1;1
NanoVDB_GPU;95413824;0.999856;9.54276e+07;38171;1.36325e+06;256;256
OpenVDB;106894921;6.53889;1.63476e+07;4968.86;108984;1;1
NanoVDB_CPU;106894921;4.74501;2.25278e+07;6847.37;150186;1;1
NanoVDB_GPU;106894921;1.07668;9.92817e+07;39712.7;1.41831e+06;256;256
OpenVDB;119771136;7.96203;1.50428e+07;4572.28;100285;1;1
NanoVDB_CPU;119771136;5.34316;2.24158e+07;6813.31;149439;1;1
NanoVDB_GPU;119771136;1.2464;9.60935e+07;38437.4;1.37276e+06;256;256
